,University,CNCI,TOP
161,Institut Polytechnique de Paris,70.7,26.4
162,Korea University,69.3,20.7
163,Lulea University of Technology,100.0,4.0
164,Macau University of Science and Technology,91.6,8.9
165,Macquarie University,86.5,16.0
166,Nankai University,79.1,22.5
167,Northwestern University,64.6,40.2
168,Qatar University,84.2,5.6
169,Qingdao University,97.4,4.6
170,Radboud University Nijmegen,97.1,14.1
171,Sejong University,90.2,7.2
172,Shanghai University,73.7,13.7
173,Sorbonne University,66.5,32.7
174,Southern University of Science and Technology,81.6,17.9
175,Southwest University,83.0,10.0
176,St. Francis Xavier University,99.3,0.0
177,Stony Brook University,70.3,30.9
178,Technion-Israel Institute of Technology,58.5,46.1
179,Tel Aviv University,62.3,45.8
180,Thapar Institute of Engineering and Technology,98.1,0.0
181,Pennsylvania State University - University Park,62.5,35.0
182,The University of Manchester,75.1,17.4
183,University at Albany (State University of New York),73.3,15.2
184,University of Amsterdam,70.2,29.2
185,University of Birmingham,76.8,21.1
186,University of Houston,74.6,18.4
187,University of Idaho,99.4,4.0
188,University of Illinois at Chicago,79.5,29.4
189,University of Pittsburgh,67.1,28.8
190,University of Science and Technology Beijing,78.5,9.2
191,University of Southampton,72.6,23.0
192,University of Tehran,80.9,10.5
193,University of Wollongong,78.4,12.5
194,University of Zurich,88.1,21.5
195,Vanderbilt University,89.7,16.3
196,Victoria University,100.0,5.1
197,Vienna University of Technology,64.1,34.2
198,Washington University in St. Louis,78.1,24.8
199,York University,92.1,20.3
200,Aarhus University,65.1,32.4
201,Anhui University,71.3,11.2
202,Anhui University of Technology,100.0,3.2
203,Beijing University of Technology,68.2,10.7
204,Ben-Gurion University of the Negev,54.3,34.3
205,Bohai University,100.0,0.0
206,Boston University,66.9,32.0
207,Cardiff University,72.0,18.2
208,Case Western Reserve University,89.1,12.3
209,Chalmers University of Technology,67.6,23.7
210,Chongqing University of Posts and Telecommunications,73.1,6.5
211,COMSATS University Islamabad,76.0,2.3
212,Concordia University,72.3,13.7
213,East China Normal University,66.6,23.1
214,East China University of Science and Technology,80.7,4.6
215,Ecole de Technologie Superieure - Canada,80.0,8.3
216,Florida Atlantic University,97.1,9.4
217,Fordham University,97.4,5.6
218,Fuzhou University,75.0,7.2
219,Georgia State University,83.0,8.6
220,Ghent University,68.5,14.3
221,Heidelberg University,81.5,17.3
222,Hohai University,72.9,4.6
223,Huaqiao University,87.2,5.1
224,Indiana University Bloomington,69.3,29.9
225,Karlsruhe Institute of Technology (KIT),71.6,22.3
226,Linkoping University,75.4,18.0
227,McMaster University,83.6,10.5
228,National Taiwan University of Science and Technology,71.4,10.0
229,North Carolina State University - Raleigh,69.4,25.0
230,Norwegian University of Science and Technology - NTNU,69.7,16.0
231,Polytechnic University of Catalonia,61.1,20.1
232,Quaid-i-Azam University,90.7,2.3
233,Queen's University Belfast,77.6,10.2
234,Queensland University of Technology,71.0,26.6
235,Qufu Normal University,100.0,0.0
236,Rensselaer Polytechnic Institute,71.2,23.2
237,RWTH Aachen University,63.3,26.1
238,Saarland University,62.0,36.3
239,Sapienza University of Rome,66.7,28.0
240,Shandong Normal University,78.4,9.4
241,Shandong University of Science and Technology,77.5,4.0
242,Southwest Jiaotong University,74.8,9.4
243,Stevens Institute of Technology,78.1,19.1
244,Swansea University,83.0,14.3
245,Tampere University,69.8,19.5
246,Technical University Darmstadt,60.8,31.7
247,Technical University of Berlin,68.5,28.0
248,"The Chinese University of Hong Kong, Shenzhen",95.2,11.0
249,The University of Auckland,75.0,18.4
250,The University of Glasgow,72.5,22.3
251,The University of Sheffield,72.5,18.3
252,The University of Texas at Arlington,73.3,20.1
253,The University of Texas at Dallas,66.3,23.8
254,Ton Duc Thang University,86.8,0.0
255,Universiti Teknologi Malaysia,80.2,6.9
256,University of Calabria,83.0,14.5
257,"University of California, Santa Barbara",66.7,32.0
258,University of Central Florida,68.4,27.9
259,University of Chicago,68.3,31.8
260,University of Colorado at Boulder,65.7,32.3
261,University of Essex,77.4,9.4
262,Exeter University,83.8,9.7
263,University of Fortaleza (UNIFOR),100.0,0.0
264,University of Helsinki,71.7,19.7
265,University of Jordan,100.0,4.0
266,University of Kentucky,81.2,16.8
267,University of Leicester,83.2,7.2
268,University of Lincoln,89.4,14.3
269,University of Lisbon,57.1,24.0
270,University of Liverpool,68.8,21.5
271,University of Luxembourg,79.6,16.7
272,University of Malaya,81.1,4.6
273,University of Massachusetts Amherst,60.9,33.4
274,University of Muenster,94.0,9.7
275,University of Munich,72.5,26.4
276,University of Naples Federico II,74.3,13.7
277,University of North Carolina at Charlotte,77.6,17.3
278,University of Nottingham,68.2,24.9
279,University of Padua,74.2,16.2
280,University of Rhode Island,95.7,6.1
281,University of South Australia,81.0,15.9
282,University of South Carolina - Columbia,84.5,15.2
283,University of Trento,71.0,21.1
284,University of Twente,72.9,20.8
285,University of Utah,70.0,26.3
286,University of Virginia,66.9,27.6
287,Utrecht University,81.1,17.0
288,Vellore Institute of Technology,84.3,3.2
289,Victoria University of Wellington,85.6,10.0
290,Wenzhou University,100.0,5.1
291,Western Sydney University,87.3,8.9
292,Western University,75.5,12.7
293,Xi'an Jiaotong-Liverpool University,84.8,7.2
294,Yale University,62.9,32.8
295,Yangzhou University,91.0,2.3
296,Yeungnam University,95.8,5.6
297,Yonsei University,62.0,22.8
298,Zagazig University,99.4,0.0
299,Zhejiang University of Technology,73.4,10.0
300,Auburn University,79.1,7.9
301,Binghamton University,76.8,14.8
302,California Institute of Technology,66.9,30.4
303,China University of Mining and Technology - Xuzhou,72.0,4.0
304,"City, University of London",76.5,12.5
305,Curtin University,76.0,6.5
306,Czech Technical University in Prague,63.7,24.9
307,Dongguan University of Technology,84.0,10.2
308,Florida International University,78.5,10.0
309,Graz University of Technology,71.2,21.7
310,Guangdong University of Petrochemical Technology,94.8,0.0
311,Guilin University of Electronic Technology,69.1,8.9
312,Harbin Engineering University,66.2,6.9
313,Heriot-Watt University,75.3,14.7
314,Hunan University of Science and Technology,89.6,3.2
315,Illinois Institute of Technology,79.4,11.7
316,Iowa State University,69.5,16.3
317,Jiangsu Normal University,90.4,9.4
318,Jilin University,61.1,12.7
319,Jinan University,73.2,10.2
320,Khalifa University,72.8,7.9
321,King Fahd University of Petroleum & Minerals,78.8,4.0
322,Kyoto University,62.1,22.4
323,Kyung Hee University,79.4,6.5
324,La Trobe University,77.8,6.5
325,Leiden University,72.0,13.5
326,Liaoning University of Technology,100.0,0.0
327,Liverpool John Moores University,82.7,4.6
328,Loughborough University,79.4,10.2
329,Manchester Metropolitan University,88.6,4.6
330,Mansoura University,92.4,0.0
331,Memorial University of Newfoundland,78.6,7.2
332,Menofia University,82.0,2.3
333,Middlesex University,77.5,11.4
334,Missouri University of Science and Technology,77.2,11.4
335,National Taiwan University,52.9,29.7
336,National University of Sciences and Technology Pakistan,70.6,7.2
337,National Yang Ming Chiao Tung University,56.6,20.5
338,North China Electric Power University,75.8,5.6
339,Oklahoma State University,86.6,4.6
340,Polytechnic University of Madrid,59.8,8.9
341,Polytechnic University of Valencia,60.6,8.6
342,Pompeu Fabra University,67.0,18.3
343,Qingdao University of Science and Technology,93.3,0.0
344,Renmin University of China,64.8,19.4
345,Ryerson University,66.2,10.5
346,Sichuan Normal University,100.0,2.3
347,Soochow University (China),64.9,13.1
348,Southwestern University of Finance and Economics,90.6,4.0
349,Sungkyunkwan University,69.2,15.9
350,SUNY New Paltz,87.6,0.0
351,Taiyuan University of Science and Technology,100.0,0.0
352,The Hebrew University of Jerusalem,63.4,29.3
353,The University of Calgary,60.8,20.2
354,The University of New Mexico - Albuquerque,73.4,12.7
355,"The University of Newcastle, Australia",82.6,7.6
356,The University of Western Australia,76.1,12.3
357,Tohoku University,79.5,18.7
358,Università Della Svizzera Italiana,76.9,12.9
359,University College Dublin,75.5,11.7
360,University of Arizona,65.8,15.0
361,University of Arkansas at Fayetteville,80.2,11.9
362,University of Bergen,76.4,16.3
363,University of Bern,80.4,10.7
364,University of Bologna,65.4,17.3
365,University of Bonn,66.7,26.5
366,"University of California, Riverside",67.6,23.2
367,"University of California, Santa Cruz",65.0,28.9
368,University of East Anglia,81.8,10.5
369,University of Guelph,88.3,7.9
370,University of Jaen,82.3,5.1
371,University of Leeds,71.1,12.5
372,University of Liege,86.5,7.9
373,University of Manitoba,80.1,12.3
374,University of Montpellier,69.7,18.2
375,University of Nebraska - Lincoln,74.0,11.7
376,University of North Texas,83.6,7.9
377,University of Notre Dame,70.9,17.7
378,University of Oklahoma - Norman,81.3,5.1
379,University of Ottawa,66.2,13.5
